num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
19000	10	1900	normal	511499.14692710695	0.45300455868998246	(0.8154906259681101, 1.18450937403189)
19000	10	1900	lognormal	507078.3737398735	0.04175114243630753	(0.9829947027943458, 1.0170052972056542)
20000	10	2000	uniform	506141.11133201356	0.03541186241925152	(0.9855767001833838, 1.014423299816616)
20000	10	2000	normal	513912.93359026924	0.5643870126074837	(0.7701244007144734, 1.2298755992855266)
20000	10	2000	lognormal	516270.2704809644	0.038381636234011696	(0.9843671072619301, 1.01563289273807)
21000	10	2100	uniform	496625.65334947634	0.033329931799232625	(0.986424673361818, 1.013575326638182)
21000	10	2100	normal	510297.83460216864	0.46146989839011315	(0.8120426815731236, 1.1879573184268764)
21000	10	2100	lognormal	492223.22463872575	0.03053936903775989	(0.9875612733770696, 1.0124387266229304)
22000	10	2200	uniform	490341.43276340206	0.039495789084051755	(0.983913311287931, 1.016086688712069)
22000	10	2200	normal	495699.08938274736	0.3946657755369285	(0.8392520918405068, 1.1607479081594934)
22000	10	2200	lognormal	493293.87161739985	0.029139873565356425	(0.9881312897899736, 1.0118687102100266)
23000	10	2300	uniform	500105.4787685872	0.03868930089547647	(0.9842417950260824, 1.0157582049739176)
23000	10	2300	normal	498502.21757627785	0.4204289824697711	(0.8287587025510493, 1.1712412974489506)
23000	10	2300	lognormal	499846.1125946399	0.03460935109713612	(0.9859035641384072, 1.0140964358615927)
24000	10	2400	uniform	498761.2951509118	0.041716636702612726	(0.9830087570266982, 1.0169912429733017)
24000	10	2400	normal	487557.1851251585	0.4687930720951883	(0.8090599429442726, 1.1909400570557274)
24000	10	2400	lognormal	496563.1313916598	0.02797320146139874	(0.9886064769276576, 1.0113935230723425)
25000	10	2500	uniform	493694.4749229471	0.027254063917148155	(0.988899382629349, 1.011100617370651)
25000	10	2500	normal	503116.6263784289	0.5241026159064655	(0.786532290383513, 1.213467709616487)
25000	10	2500	lognormal	503915.6970807942	0.029442282520212325	(0.9880081182105893, 1.0119918817894107)
26000	10	2600	uniform	503716.9369647269	0.034800785545102436	(0.9858255926268963, 1.0141744073731038)
26000	10	2600	normal	509154.04134362144	0.4799628005802412	(0.8045104973121069, 1.1954895026878931)
26000	10	2600	lognormal	498749.4624535842	0.0437708530184699	(0.9821720719221134, 1.0178279280778866)
27000	10	2700	uniform	505663.5440631841	0.033403218921139205	(0.9863948234172023, 1.0136051765827978)
27000	10	2700	normal	499637.8643264468	0.5423494335696115	(0.7791003366856581, 1.2208996633143419)
27000	10	2700	lognormal	503543.5478447497	0.02927378917240277	(0.9880767457807461, 1.0119232542192538)
28000	10	2800	uniform	504540.2132244603	0.05081253059340896	(0.9793039870506418, 1.020696012949358)
28000	10	2800	normal	503938.4046166805	0.5559863225083208	(0.7735460132388922, 1.2264539867611077)
28000	10	2800	lognormal	502174.6854099781	0.023693945666023838	(0.9903494236441547, 1.0096505763558452)
29000	10	2900	uniform	507655.31079664687	0.01873464492145331	(0.9923693535951087, 1.0076306464048912)
29000	10	2900	normal	504963.5742784441	0.4397422766993932	(0.8208923714944562, 1.1791076285055437)
29000	10	2900	lognormal	509499.2265626051	0.028319562529790523	(0.9884654035925396, 1.0115345964074602)
30000	10	3000	uniform	507176.34237405594	0.022906573534929017	(0.9906701213860463, 1.0093298786139537)
30000	10	3000	normal	501579.8008196516	0.3585984755498364	(0.8539423522716231, 1.146057647728377)
30000	10	3000	lognormal	512678.75057317485	0.041684262951115957	(0.9830219428997963, 1.0169780571002036)
31000	10	3100	uniform	511097.4422771495	0.034277438176591526	(0.9860387527232194, 1.0139612472767805)
31000	10	3100	normal	510126.41245158674	0.6469940580362661	(0.7364784385485179, 1.263521561451482)
31000	10	3100	lognormal	514698.4683021869	0.04735589345753379	(0.9807118800662002, 1.0192881199337998)
32000	10	3200	uniform	517742.8618104015	0.02436818815074275	(0.9900748037613859, 1.0099251962386142)
32000	10	3200	normal	514877.1582745417	0.3658189656442104	(0.8510014368173304, 1.1489985631826696)
32000	10	3200	lognormal	517224.10413673735	0.03200952006825467	(0.9869624788590775, 1.0130375211409224)
33000	10	3300	uniform	520295.0792052294	0.029271848910844667	(0.9880775360519226, 1.0119224639480773)
33000	10	3300	normal	503469.48450095125	0.3825641822431283	(0.8441810872790618, 1.1558189127209382)
