num_requests	num_servers	request_per_server	distribution	throughput	standard_error	confidence_interval
31000	20	1550	uniform	326943.0589851472	0.255081876635172	(0.9265350024212016, 1.0734649975787984)
31000	20	1550	normal	330610.5316432779	0.84292671843612	(0.7572324222093502, 1.2427675777906497)
31000	20	1550	lognormal	330329.9802567099	0.25752071737071963	(0.9258326027403794, 1.0741673972596206)
32000	20	1600	uniform	323742.7805739318	0.31595935260726177	(0.9090019511363019, 1.0909980488636981)
32000	20	1600	normal	335183.11467296246	0.6993826798059127	(0.7985739027940396, 1.2014260972059603)
32000	20	1600	lognormal	328696.3657665776	0.3645062478031069	(0.8950201756175264, 1.1049798243824736)
33000	20	1650	uniform	333283.2768783444	0.33796713072556683	(0.9026635887739752, 1.0973364112260249)
33000	20	1650	normal	329452.06191965647	0.6982524164643149	(0.7988994249156001, 1.2011005750844)
33000	20	1650	lognormal	331794.914265652	0.2915610119536905	(0.9160288087895601, 1.08397119121044)
34000	20	1700	uniform	334573.5153514285	0.41518107943368904	(0.8804255425837917, 1.1195744574162083)
34000	20	1700	normal	329534.57186446816	0.948048003690234	(0.7269569080546576, 1.2730430919453424)
34000	20	1700	lognormal	336494.7110404617	0.3858692160604603	(0.8888675220773963, 1.1111324779226037)
35000	20	1750	uniform	332217.4938708245	0.39277166862373025	(0.8868795773925857, 1.1131204226074143)
35000	20	1750	normal	333700.13970499363	0.6205421987328205	(0.8212803993415384, 1.1787196006584617)
35000	20	1750	lognormal	334511.9143825357	0.2122085997218736	(0.938882744354806, 1.061117255645194)
36000	20	1800	uniform	333387.9750050515	0.25857808000058724	(0.9255280764287973, 1.0744719235712028)
36000	20	1800	normal	332091.2750655576	0.705223478282585	(0.7968917203841905, 1.2031082796158095)
36000	20	1800	lognormal	330705.51363898895	0.2570953610848668	(0.9259551077137727, 1.0740448922862273)
37000	20	1850	uniform	333661.43073426315	0.2953797125396146	(0.9149290018060152, 1.0850709981939848)
37000	20	1850	normal	331890.03923272155	0.8246115760030932	(0.7625072849798717, 1.2374927150201283)
37000	20	1850	lognormal	328635.363502865	0.3781670838614716	(0.8910857789399157, 1.1089142210600842)
38000	20	1900	uniform	331663.9522881505	0.212686157664409	(0.9387452050142817, 1.0612547949857183)
38000	20	1900	normal	327320.6116157902	0.752316275507417	(0.7833287331593111, 1.216671266840689)
38000	20	1900	lognormal	332874.43380686763	0.2999397908186633	(0.9136156739281254, 1.0863843260718746)
39000	20	1950	uniform	329315.67923203856	0.35076259552878597	(0.8989784238254181, 1.1010215761745819)
39000	20	1950	normal	338873.9190128349	0.7654967318991789	(0.7795326884944321, 1.2204673115055678)
39000	20	1950	lognormal	329524.65080547356	0.3132310882741477	(0.9097877064211166, 1.0902122935788834)
40000	20	2000	uniform	328910.64998294803	0.2834470409088795	(0.9183656775276478, 1.0816343224723524)
40000	20	2000	normal	329417.378753116	0.653134653038713	(0.8118935914339971, 1.188106408566003)
40000	20	2000	lognormal	330517.95385919785	0.25906972999561334	(0.9253864784988672, 1.0746135215011328)
41000	20	2050	uniform	332327.89824294834	0.4189307939421832	(0.879345603973799, 1.120654396026201)
41000	20	2050	normal	332569.7720634108	0.76481721074624	(0.7797283943615596, 1.2202716056384404)
41000	20	2050	lognormal	332883.62649853044	0.2645211178200227	(0.9238164485202416, 1.0761835514797584)
42000	20	2100	uniform	320479.42256567033	0.35123562260259705	(0.8988421894002577, 1.1011578105997422)
42000	20	2100	normal	332739.81265370053	0.747443018403167	(0.7847322582787245, 1.2152677417212754)
42000	20	2100	lognormal	328305.62965361506	0.23947964186171053	(0.9310285327142045, 1.0689714672857955)
43000	20	2150	uniform	334077.66354721517	0.28425786022182525	(0.918132157061011, 1.081867842938989)
43000	20	2150	normal	328394.1779775168	0.9035201634585115	(0.7397811734158981, 1.260218826584102)
43000	20	2150	lognormal	332830.65583971125	0.36045131256390606	(0.8961880194936169, 1.103811980506383)
44000	20	2200	uniform	329860.8457282732	0.32306825776227804	(0.9069545469581205, 1.0930454530418794)
44000	20	2200	normal	332750.2792190781	0.8466162351306387	(0.7561698209042115, 1.2438301790957884)
44000	20	2200	lognormal	330411.8865015345	0.38514621029653806	(0.8890757517540658, 1.110924248245934)
45000	20	2250	uniform	333417.4854368985	0.4055535951246376	(0.8831983115503065, 1.1168016884496934)
